INFO 2024-03-09 18:28:51,676 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:28:51,681 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:28:56,487 "GET /time/list/ HTTP/1.1" 200 11828
INFO 2024-03-09 18:29:02,145 "POST /time/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:29:02,237 "GET /time/list/ HTTP/1.1" 200 12251
INFO 2024-03-09 18:29:06,530 "GET /staff/list/ HTTP/1.1" 200 10746
INFO 2024-03-09 18:29:08,716 "GET /staff/create/ HTTP/1.1" 200 18353
INFO 2024-03-09 18:30:34,032 "POST /staff/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:30:34,133 "GET /staff/1/ HTTP/1.1" 200 15453
INFO 2024-03-09 18:30:34,229 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,230 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,230 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,230 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,232 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,241 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,242 "GET /static/dist/img/avatar.png HTTP/1.1" 200 8543
INFO 2024-03-09 18:30:34,274 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,276 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,276 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,276 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,277 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,277 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:34,284 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:30:41,166 "GET /batches/ HTTP/1.1" 200 10881
INFO 2024-03-09 18:30:43,469 "GET /batches/create/ HTTP/1.1" 200 12945
INFO 2024-03-09 18:31:01,177 "POST /batches/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:31:01,640 "GET /batches/1/ HTTP/1.1" 200 15441
INFO 2024-03-09 18:31:05,130 "GET /course/ HTTP/1.1" 200 10734
INFO 2024-03-09 18:31:07,306 "GET /course/create/ HTTP/1.1" 200 12129
INFO 2024-03-09 18:31:21,976 "POST /course/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:31:22,117 "GET /course/ HTTP/1.1" 200 10934
INFO 2024-03-09 18:31:38,792 "GET /batches/ HTTP/1.1" 200 11188
INFO 2024-03-09 18:31:38,921 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,948 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,950 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,957 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,961 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,962 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,964 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,981 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,982 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,984 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,987 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,990 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:38,991 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:31:40,259 "GET /course/ HTTP/1.1" 200 10934
INFO 2024-03-09 18:31:41,814 "GET /staff/list/ HTTP/1.1" 200 10977
INFO 2024-03-09 18:31:43,462 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 18:31:46,574 "GET /enquiry/list HTTP/1.1" 200 10832
INFO 2024-03-09 18:31:48,887 "GET /enquiry/create/ HTTP/1.1" 200 23407
INFO 2024-03-09 18:36:05,383 "POST /enquiry/create/ HTTP/1.1" 302 0
INFO 2024-03-09 18:36:05,765 "GET /enquiry/1/ HTTP/1.1" 200 13067
INFO 2024-03-09 18:36:05,896 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,896 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,899 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,900 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,900 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,902 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 18:36:05,915 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,032 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,032 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,034 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,038 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,048 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,050 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:06,058 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 18:36:07,946 "GET /staff/1/ HTTP/1.1" 200 15310
INFO 2024-03-09 18:36:11,009 "GET /enquiry/1/ HTTP/1.1" 200 12921
INFO 2024-03-09 18:36:14,508 "GET /enquiry/1/histroy HTTP/1.1" 200 11766
INFO 2024-03-09 18:36:18,683 "GET /staff/list/ HTTP/1.1" 200 10977
